id;Movie;Budget;Box office;Release year;Rating;Popularity;Director;Producer
183;Changeling;55000000;113020255;2008;7.6;12.4;Clint Eastwood;Clint Eastwood, Brian Grazer, Robert Lorenz, Ron Howard
184;Wild at Heart;9500000;14560247;1990;7.1;12.296;David Lynch;Steve Golin, Monty Montgomery, Sigurjón Sighvatsson
185;Operation Condor;0;0;1991;7.3;12.265;Jackie Chan;Leonard Ho
186;A Matter of Loaf and Death;0;0;2008;7.2;12.236;Nick Park;Steve Pegram
187;Miller's Crossing;14000000;5080409;1990;7.5;12.229;Joel Coen, Ethan Coen;Ethan Coen
188;Shaft;46000000;107196498;2000;5.9;12.148;John Singleton;Scott Rudin, John Singleton, Mark Roybal
189;In the Line of Fire;40000000;176997168;1993;6.9;12.135;Wolfgang Petersen;Jeff Apple
190;Mercury Rising;60000000;93107289;1998;6.2;12.133;Harold Becker;Brian Grazer, Karen Kehela Sherwood
191;Double Impact;15000000;30102717;1991;5.6;12.121;Sheldon Lettich;Paul Michael Glaser, Jean-Claude Van Damme, Ashok Amritraj
192;S.W.A.T.;80000000;116643346;2003;6.0;12.065;Clark Johnson;Dan Halsted, Neal H. Moritz, Chris Lee
193;The Bad Lieutenant: Port of Call - New Orleans;25000000;10589102;2009;6.1;12.046;Werner Herzog;Nicolas Cage, Edward R. Pressman, Randall Emmett, John Thompson, Mel B, Alan Polsky, Stephen Belafonte, Gabe Polsky
194;Crimson Rivers II: Angels of the Apocalypse;0;0;2004;6.0;12.045;Olivier Dahan;Luc Besson, Alain Goldman
195;Traitor;22000000;23530831;2008;6.6;12.014;Jeffrey Nachmanoff;Don Cheadle, Jeffrey Silver, David Hoberman, Todd Lieberman, Glynis Murray, Richard Schlesinger
196;Absolute Power;50000000;50068310;1997;6.6;12.004;Clint Eastwood;Clint Eastwood, Michael Maurer, Karen S. Spiegel
197;Unleashed;45000000;50871113;2005;6.7;11.982;Louis Leterrier;Luc Besson, Jet Li, Pierre Spengler, Steve Chasman, Mehdi Sayah
198;Irreversible;0;792200;2002;7.2;11.981;Gaspar Noé;Christophe Rossignon
199;The Girl Who Played with Fire;4422952;67126795;2009;7.0;11.977;Daniel Alfredson;Søren Stærmose
